team,venue_name,lat,lon,elevation_ft,roof_type,orientation_deg,k_factor
ARI,Chase Field,33.4453,-112.0667,1086,retractable,23,98
ATL,Truist Park,33.8908,-84.4678,1050,open,135,99
BAL,Oriole Park at Camden Yards,39.2839,-76.6217,36,open,31,100
BOS,Fenway Park,42.3467,-71.0972,21,open,52,96
CHC,Wrigley Field,41.9484,-87.6553,600,open,37,100
CWS,Rate Field,41.8299,-87.6338,600,open,127,101
CIN,Great American Ball Park,39.0975,-84.5061,490,open,120,102
CLE,Progressive Field,41.4962,-81.6852,660,open,22,101
COL,Coors Field,39.7559,-104.9942,5200,open,3,93
DET,Comerica Park,42.3390,-83.0485,600,open,150,102
HOU,Daikin Park,29.7572,-95.3556,45,retractable,343,99
KC,Kauffman Stadium,39.0517,-94.4803,750,open,45,97
LAA,Angel Stadium,33.8003,-117.8827,160,open,65,99
LAD,Dodger Stadium,34.0739,-118.2400,515,open,26,102
MIA,loanDepot park,25.7781,-80.2196,7,retractable,40,102
MIL,American Family Field,43.0280,-87.9712,635,retractable,135,103
MIN,Target Field,44.9817,-93.2776,815,open,90,102
NYM,Citi Field,40.7571,-73.8458,11,open,13,103
NYY,Yankee Stadium,40.8296,-73.9262,55,open,75,101
ATH,Sutter Health Park,38.5802,-121.5133,20,open,85,98
PHI,Citizens Bank Park,39.9061,-75.1665,20,open,9,102
PIT,PNC Park,40.4469,-80.0057,730,open,118,100
SD,Petco Park,32.7076,-117.1570,20,open,0,101
SF,Oracle Park,37.7786,-122.3893,5,open,85,100
SEA,T-Mobile Park,47.5914,-122.3325,15,retractable,49,107
STL,Busch Stadium,38.6226,-90.1928,465,open,62,97
TB,Tropicana Field,27.7683,-82.6534,45,dome,45,103
TB,George M. Steinbrenner Field,27.9803,-82.5067,10,open,60,100
TEX,Globe Life Field,32.7473,-97.0847,560,retractable,95,99
TOR,Rogers Centre,43.6414,-79.3894,250,retractable,0,99
WSH,Nationals Park,38.8730,-77.0074,25,open,28,99
